ticker,yahoo_ticker,country,company,sector
SX3020PI,SX3020PI.ST,Sweden,Financial Services,
FINE,FINE.ST,Sweden,Finepart,
FING B,FING-B.ST,Sweden,Fingerprint Cards,
FIA1S,FIA1S.HE,Finland,Finnair,
FIRE,FIRE.ST,Sweden,Firefly,
FNMC SDB,FNMCSDB.ST,Sweden,First Nordic Metals,
FIRSTNORTHSEK,FIRSTNORTHSEK.ST,Sweden,First North All,
FIRST B,FIRST-B.ST,Sweden,First Venture,
FFARMS,FFARMS.CO,Denmark,FirstFarms,
FSKRS,FSKRS.HE,Finland,Fiskars,
DFENS,DFENS.OL,Norway,Fjord Defence Group,
FLAT B,FLAT-B.ST,Sweden,Flat Capital,
FFSB,FFSB.OL,Norway,Flekkefjord Sparebank,
FLMNG,FLMNG.ST,Sweden,Fleming Properties,
FLERIE,FLERIE.ST,Sweden,Flerie,
FLEXM,FLEXM.ST,Sweden,Flexion Mobile,
FLEXQ,FLEXQ.ST,Sweden,Flexqube,
FLOWS,FLOWS.ST,Sweden,Flowscape,
FLS,FLS.CO,Denmark,FLSmidth & Co.,
FLUG B,FLUG-B.CO,Denmark,Flugger,
FLUI,FLUI.ST,Sweden,Fluicell,
FLUO,FLUO.ST,Sweden,FluoGuide,
FMM B,FMM-B.ST,Sweden,FM Mattsson,
FOAMIT,FOAMIT.HE,Finland,Foamit,
FODELIA,FODELIA.HE,Finland,Fodelia,
FOM,FOM.CO,Denmark,Fom Technologies,
FONDIA,FONDIA.HE,Finland,Fondia,
SX4510PI,SX4510PI.ST,Sweden,Food & Beverage,
SX451020PI,SX451020PI.ST,Sweden,Food Producers,
FPIP,FPIP.ST,Sweden,Formpipe Software,
FOBANK,FOBANK.CO,Denmark,Foroya Banki,
FNOVA B,FNOVA-B.ST,Sweden,Fortinova,
FORTUM,FORTUM.HE,Finland,Fortum,
FRACTL,FRACTL.ST,Sweden,Fractal Gaming,
FRAG,FRAG.ST,Sweden,Fragbite,
FRAM B,FRAM-B.ST,Sweden,Fram Skandinavien,
FRAMERY,FRAMERY.HE,Finland,Framery Group,
F2M,F2M.ST,Sweden,Free2Move,
FREEM,FREEM.ST,Sweden,Freemelt,
FREETR,FREETR.CO,Denmark,Freetrailer,
FREJA,FREJA.ST,Sweden,Freja eID,
FRILAN,FRILAN.ST,Sweden,Frilans,
FRNT B,FRNT-B.ST,Sweden,Front Ventures,
FRO,FRO.OL,Norway,Frontline,
FRWA B,FRWA-B.ST,Sweden,Frontwalker,
FSECURE,FSECURE.HE,Finland,F-Secure,
FSPORT,FSPORT.ST,Sweden,FSport,
FXI,FXI.ST,Sweden,FX International,
FYNBK,FYNBK.CO,Denmark,Fynske Bank,
G5EN,G5EN.ST,Sweden,G5 Entertainment,
GABA,GABA.ST,Sweden,Gabather,
GABR,GABR.CO,Denmark,Gabriel Holding,
THRILL,THRILL.ST,Sweden,Gamethrill,
GCOR,GCOR.ST,Sweden,Gaming Corps,
GAPW B,GAPW-B.ST,Sweden,Gapwaves,
GARO,GARO.ST,Sweden,Garo,
GARPCO B,GARPCO-B.ST,Sweden,Garpco,
GPX,GPX.ST,Sweden,Gasporox,
SX502030PI,SX502030PI.ST,Sweden,General Industrials,
GENI,GENI.ST,Sweden,Generic Sweden,
GEAN,GEAN.OL,Norway,Genetic Analysis,
GMAB,GMAB.CO,Denmark,Genmab,
GPG,GPG.ST,Sweden,Genova Property,
GENO,GENO.ST,Sweden,Genovis,
GENT,GENT.OL,Norway,Gentian Diagnostics,
G2M,G2M.ST,Sweden,Gentoo Media,
GERHSP,GERHSP.CO,Denmark,German High Street,
GETI B,GETI-B.ST,Sweden,Getinge,
GIG SDB,GIGSDB.ST,Sweden,GiG Software,
GIGA,GIGA.OL,Norway,Gigante Salmon,
GIGA,GIGA.ST,Sweden,Gigasun,
GJF,GJF.OL,Norway,Gjensidige Forsikring,
GLA1V,GLA1V.HE,Finland,Glaston,
GJ,GJ.CO,Denmark,Glunz & Jensen,
GTAB B,GTAB-B.ST,Sweden,Glycorex Transplantation,
GN,GN.CO,Denmark,GN Store Nord,
GOFORE,GOFORE.HE,Finland,Gofore,
GTG,GTG.ST,Sweden,Gold Town Games,
GEOS,GEOS.OL,Norway,Golden Energy Offshore,
GOMERO,GOMERO.ST,Sweden,Gomero Group,
GOMX,GOMX.ST,Sweden,GomSpace,
BTCX,BTCX.ST,Sweden,Goobit Group,
GBK,GBK.ST,Sweden,Goodbye Kansas,
GOD,GOD.OL,Norway,Goodtech,
GOSOL,GOSOL.ST,Sweden,Gosol Energy,
GOTL A,GOTL-A.ST,Sweden,Gotlandsbolaget A,
GOTL B,GOTL-B.ST,Sweden,Gotlandsbolaget B,
GRANGX,GRANGX.ST,Sweden,Grangex,
GREAT,GREAT.ST,Sweden,Greater Than,
GREEN,GREEN.ST,Sweden,Green Landscaping,
GEM,GEM.OL,Norway,Green Minerals,
GMERC B,GMERC-B.ST,Sweden,Greenmerc,
GREENM,GREENM.CO,Denmark,GreenMobility,
GSF,GSF.OL,Norway,Grieg Seafood,
GRK,GRK.HE,Finland,GRK Infra,
GRONG,GRONG.OL,Norway,Grong Sparebank,
VISC,VISC.ST,Sweden,Gruvaktiebolaget Viscaria,
GRNG,GRNG.ST,Sweden,Gränges,
GRLA,GRLA.CO,Denmark,Grönlandsbanken,
GUARD,GUARD.ST,Sweden,Guard Therapeutics,
GUBRA,GUBRA.CO,Denmark,Gubra,
GGEO,GGEO.ST,Sweden,Guideline Geo,
GULD,GULD.ST,Sweden,Guldbrev,
GJAB,GJAB.ST,Sweden,Gullberg & Jansson,
GYL,GYL.OL,Norway,Gyldendal,
GYLD A,GYLD-A.CO,Denmark,Gyldendal A,
GYLD B,GYLD-B.CO,Denmark,Gyldendal B,
HLUN A,HLUN-A.CO,Denmark,H. Lundbeck A,
HLUN B,HLUN-B.CO,Denmark,H. Lundbeck B,
H100,H100.ST,Sweden,H100 Group,
HACK,HACK.ST,Sweden,Hacksaw,
HAFNI,HAFNI.OL,Norway,Hafnia Limited,
HAKI A,HAKI-A.ST,Sweden,HAKI Safety A,
HAKI B,HAKI-B.ST,Sweden,HAKI Safety B,
HAMLET B,HAMLET-B.ST,Sweden,Hamlet BioPharma,
SHB A,SHB-A.ST,Sweden,Handelsbanken A,
SHB B,SHB-B.ST,Sweden,Handelsbanken B,
HNSA,HNSA.ST,Sweden,Hansa Biopharma,
HANZA,HANZA.ST,Sweden,Hanza,
HARB B,HARB-B.CO,Denmark,Harboes Bryggeri,
HARVIA,HARVIA.HE,Finland,Harvia,
HGSB,HGSB.OL,Norway,Haugesund Sparebank,
HAV,HAV.OL,Norway,Hav Group,
HKY,HKY.OL,Norway,Havila Kystruten,
HAVI,HAVI.OL,Norway,Havila Shipping,
HAV B,HAV-B.ST,Sweden,Havsfrun Investment,
HAYPP,HAYPP.ST,Sweden,Haypp Group,
SX201010PI,SX201010PI.ST,Sweden,Health Care Providers,
HEBA B,HEBA-B.ST,Sweden,Heba,
HEGR,HEGR.ST,Sweden,Hedera,
HEIM PREF,HEIMPREF.ST,Sweden,Heimstaden Pref,
HELIO,HELIO.ST,Sweden,Heliospectra,
HEM,HEM.ST,Sweden,Hemnet,
HMPLY,HMPLY.ST,Sweden,Hemply Balance,
HM B,HM-B.ST,Sweden,Hennes & Mauritz,
HRTIS,HRTIS.HE,Finland,Herantis Pharma,
HERMA,HERMA.OL,Norway,Hermana Holding,
HERNO B,HERNO-B.ST,Sweden,Hernö Gin,
HEXA B,HEXA-B.ST,Sweden,Hexagon,
HEX,HEX.OL,Norway,Hexagon Composites,
HPUR,HPUR.OL,Norway,Hexagon Purus,
HTRO,HTRO.ST,Sweden,Hexatronic,
HEXI,HEXI.ST,Sweden,Hexicon,
HPOL B,HPOL-B.ST,Sweden,Hexpol,
HFRTO B,HFRTO-B.ST,Sweden,HF Reverse,
HH,HH.CO,Denmark,HH International,
HIAB,HIAB.HE,Finland,Hiab,
HIGHCO B,HIGHCO-B.ST,Sweden,High Coast Distillery,
HILB B,HILB-B.ST,Sweden,Hilbert Group,
HSHP,HSHP.OL,Norway,Himalaya Shipping,
HKFOODS,HKFOODS.HE,Finland,HKFoods,
HMS,HMS.ST,Sweden,HMS Networks,
HBC,HBC.OL,Norway,Hofseth BioCare,
HOFI,HOFI.ST,Sweden,Hoist Finance,
HSPG,HSPG.OL,Norway,Holand Og Setskog Sparebank,
HOLDFL,HOLDFL.ST,Sweden,Holdflight,
HOLM A,HOLM-A.ST,Sweden,Holmen A,
HOLM B,HOLM-B.ST,Sweden,Holmen B,
HOME B,HOME-B.ST,Sweden,HomeMaid,
HONBS,HONBS.HE,Finland,Honkarakenne,
HOODIN,HOODIN.ST,Sweden,Hoodin,
HRGI,HRGI.OL,Norway,Horisont Energi,
HOTEL,HOTEL.ST,Sweden,Hotel Fast,
SX402020PI,SX402020PI.ST,Sweden,Household Goods,
HOVE,HOVE.CO,Denmark,Hove,
HUDL,HUDL.OL,Norway,Huddlestock Fintech,
HDLY,HDLY.OL,Norway,Huddly,
HUFV A,HUFV-A.ST,Sweden,Hufvudstaden A,
HUH1V,HUH1V.HE,Finland,Huhtamäki,
HULT B,HULT-B.ST,Sweden,Hultström,
HUM,HUM.ST,Sweden,Humana,
HUMBLE,HUMBLE.ST,Sweden,Humble Group,
HUNTER,HUNTER.ST,Sweden,Hunter Capital,
HUNT,HUNT.OL,Norway,Hunter Group,
HUSCO,HUSCO.CO,Denmark,HusCompagniet,
HUSQ A,HUSQ-A.ST,Sweden,Husqvarna A,
HUSQ B,HUSQ-B.ST,Sweden,Husqvarna B,
HVID,HVID.CO,Denmark,Hvidbjerg Bank,
HYCO,HYCO.ST,Sweden,Hybricon,
HYPRO,HYPRO.OL,Norway,HydrogenPro,
HYN,HYN.OL,Norway,Hynion,
HAUTO,HAUTO.OL,Norway,Höegh Autoliners,
LOVE B,LOVE-B.ST,Sweden,I Love Lund,
ISLAX,ISLAX.OL,Norway,Icelandic Salmon,
ICO,ICO.ST,Sweden,Iconovo,
IDEX,IDEX.OL,Norway,IDEX Biometrics,
IDLDX,IDLDX.ST,Sweden,IDL Diagnostics,
IDUN B,IDUN-B.ST,Sweden,Idun Industrier,
ABI,ABI.ST,Sweden,Igrene,
ILKKA1,ILKKA1.HE,Finland,Ilkka 1,
ILKKA2,ILKKA2.HE,Finland,Ilkka 2,
IS,IS.ST,Sweden,Image Systems,
IMHO B,IMHO-B.ST,Sweden,IMHO Intermedia House,
IMMNOV,IMMNOV.ST,Sweden,Immunovia,
IMPC,IMPC.ST,Sweden,Impact Coatings,
IMPERO,IMPERO.CO,Denmark,Impero,
IMP A SDB,IMPASDB.ST,Sweden,Implantica,
ICP1V,ICP1V.HE,Finland,Incap,
INCOAX,INCOAX.ST,Sweden,InCoax Networks,
INDERES,INDERES.HE,Finland,Inderes,
INDCT,INDCT.OL,Norway,Induct,
SX502040PI,SX502040PI.ST,Sweden,Industrial Engineering,
SX5020PI,SX5020PI.ST,Sweden,Industrial Goods & Services,
SX551010PI,SX551010PI.ST,Sweden,Industrial Materials,
SX551020PI,SX551020PI.ST,Sweden,Industrial Metals & Mining,
SX502050PI,SX502050PI.ST,Sweden,Industrial Support Services,
SX502060PI,SX502060PI.ST,Sweden,Industrial Transportation,
INDU A,INDU-A.ST,Sweden,Industrivärden A,
INDU C,INDU-C.ST,Sweden,Industrivärden C,
INDT,INDT.ST,Sweden,Indutrade,
IBT B,IBT-B.ST,Sweden,Infant Bacterial,
INFRA,INFRA.ST,Sweden,Infracom,
INFREA,INFREA.ST,Sweden,Infrea,
ISAB,ISAB.ST,Sweden,Inhalation Sciences,
INIFY,INIFY.OL,Norway,Inify Laboratories,
ININ,ININ.OL,Norway,ININ Group,
INISS B,INISS-B.ST,Sweden,Inission,
INIT,INIT.ST,Sweden,Initiator Pharma,
INSP,INSP.ST,Sweden,Insplorion,
INSTA,INSTA.OL,Norway,Instabank,
INSTAL,INSTAL.ST,Sweden,Instalco,
SX3030PI,SX3030PI.ST,Sweden,Insurance,
INTEA B,INTEA-B.ST,Sweden,Intea Fastigheter B,
INTEA D,INTEA-D.ST,Sweden,Intea Fastigheter D,
IWS,IWS.OL,Norway,Integrated Wind,
INTEG B,INTEG-B.ST,Sweden,Integrum,
INT,INT.ST,Sweden,Intellego Technologies,
IPCO,IPCO.ST,Sweden,International Petroleum,
IOX,IOX.OL,Norway,InterOil Exploration,
IVACC,IVACC.ST,Sweden,Intervacc,
INTRUM,INTRUM.ST,Sweden,Intrum,
IMS,IMS.ST,Sweden,Invent Medic,
SX302020PI,SX302020PI.ST,Sweden,Investment Banking,
INVE A,INVE-A.ST,Sweden,Investor A,
INVE B,INVE-B.ST,Sweden,Investor B,
INVEST,INVEST.HE,Finland,Investors House,
INWI,INWI.ST,Sweden,Inwido,
IVSO,IVSO.ST,Sweden,Invisio,
IRIS,IRIS.ST,Sweden,Irisity,
IRLAB A,IRLAB-A.ST,Sweden,IRLAB Therapeutics,
ISOFOL,ISOFOL.ST,Sweden,Isofol Medical,
ISS,ISS.CO,Denmark,ISS,
ITAB,ITAB.ST,Sweden,ITAB Shop Concept,
ITECH,ITECH.ST,Sweden,I-Tech,
ITERA,ITERA.OL,Norway,Itera,
IZAFE B,IZAFE-B.ST,Sweden,iZafe,
JAREN,JAREN.OL,Norway,Jaeren Sparebank,
JDAN,JDAN.CO,Denmark,Jeudan,
JIN,JIN.OL,Norway,Jinhui Shipping,
JLT,JLT.ST,Sweden,JLT Mobile,
JM,JM.ST,Sweden,JM,
JOMA,JOMA.ST,Sweden,John Mattson,
JDT,JDT.ST,Sweden,JonDeTech Sensors,
GATE,GATE.ST,Sweden,Jumpgate,
JYSK,JYSK.CO,Denmark,Jyske Bank,
K2A B,K2A-B.ST,Sweden,K2A,
K2A PREF,K2APREF.ST,Sweden,K2A Knaust & Andersson Pref,
K33,K33.ST,Sweden,K33,
KABE B,KABE-B.ST,Sweden,Kabe,
KAKEL,KAKEL.ST,Sweden,Kakel Max,
KLDVK,KLDVK.OL,Norway,Kaldvik,
KAPIAB,KAPIAB.ST,Sweden,Kallebäck Property,
KALMAR,KALMAR.HE,Finland,Kalmar,
KAMBI,KAMBI.ST,Sweden,Kambi,
KAMUX,KAMUX.HE,Finland,Kamux,
KARNEL B,KARNEL-B.ST,Sweden,Karnell Group,
KAR,KAR.ST,Sweden,Karnov,
KDEV,KDEV.ST,Sweden,Karolinska Development,
KAV,KAV.ST,Sweden,Katalysen Ventures,
KBC,KBC.ST,Sweden,KB Components,
KEBNI B,KEBNI-B.ST,Sweden,KebNi,
KEMIRA,KEMIRA.HE,Finland,Kemira,
KEMPOWR,KEMPOWR.HE,Finland,Kempower,
KENH,KENH.ST,Sweden,Kentima,
KSL,KSL.HE,Finland,Keskisuomalainen,
KESKOA,KESKOA.HE,Finland,Kesko A,
KESKOB,KESKOB.HE,Finland,Kesko B,
KELAS,KELAS.HE,Finland,Kesla,
KFAST B,KFAST-B.ST,Sweden,K-Fast Holding,
KHG,KHG.HE,Finland,KH Group,
KID,KID.OL,Norway,Kid,
BRAVE,BRAVE.ST,Sweden,Kinda Brave,
KINV A,KINV-A.ST,Sweden,Kinnevik A,
KINV B,KINV-B.ST,Sweden,Kinnevik B,
KIT,KIT.OL,Norway,Kitron,
KJELL,KJELL.ST,Sweden,Kjell Group,
KLARA B,KLARA-B.ST,Sweden,KlaraBo,
KLAR,KLAR.ST,Sweden,Klaria Pharma,
KCC,KCC.OL,Norway,Klaveness Combination,
KLIMAT,KLIMAT.ST,Sweden,Klimator,
KMCP,KMCP.OL,Norway,KMC Properties,
KNOW,KNOW.ST,Sweden,KnowIT,
KBHL,KBHL.CO,Denmark,Kobenhavns Lufthavne,
KOJAMO,KOJAMO.HE,Finland,Kojamo,
KOMPL,KOMPL.OL,Norway,Komplett,
KNEBV,KNEBV.HE,Finland,KONE,
KCR,KCR.HE,Finland,Konecranes,
KOA,KOA.OL,Norway,Kongsberg Automotive,
KOG,KOG.OL,Norway,Kongsberg Gruppen,
KONSOL,KONSOL.CO,Denmark,Konsolidator,
KONT,KONT.ST,Sweden,Kontigo Care,
KOBR B,KOBR-B.ST,Sweden,Kopparbergs,
KOSKI,KOSKI.HE,Finland,Koskisen,
KRAB,KRAB.OL,Norway,Kraft Bank,
KREATE,KREATE.HE,Finland,Kreate Group,
KRE,KRE.CO,Denmark,Kreditbanken,
KRONA,KRONA.ST,Sweden,Krona Public Real Estate,
KVIX,KVIX.ST,Sweden,Kvix,
LAGR B,LAGR-B.ST,Sweden,Lagercrantz,
LAMM B,LAMM-B.ST,Sweden,Lammhults Design,
LAMOR,LAMOR.HE,Finland,Lamor,
LGOLD B,LGOLD-B.ST,Sweden,Lappland Guldprospektering,
LAPWALL,LAPWALL.HE,Finland,LapWall,
LAT1V,LAT1V.HE,Finland,Lassila & Tikanoja,
LATO B,LATO-B.ST,Sweden,Latour,
LATF B,LATF-B.ST,Sweden,Latvian Forest,
LEA,LEA.ST,Sweden,Lea Bank,
LEADD,LEADD.HE,Finland,LeadDesk,
LEMSE,LEMSE.ST,Sweden,Leading Edge Materials,
LEDIBOND,LEDIBOND.CO,Denmark,LED iBond,
LEHTO,LEHTO.HE,Finland,Lehto Group,
SX402030PI,SX402030PI.ST,Sweden,Leisure Goods,
LEMON,LEMON.HE,Finland,Lemonsoft,
LSG,LSG.OL,Norway,Leroy Seafood,
LEVBIO,LEVBIO.ST,Sweden,Level Bio,
LIDDS,LIDDS.ST,Sweden,LIDDS,
LIFCO B,LIFCO-B.ST,Sweden,Lifco,
LIFE,LIFE.OL,Norway,Lifecare,
LCLEAN,LCLEAN.ST,Sweden,Lifeclean,
LAIR,LAIR.ST,Sweden,LightAir,
LIGR,LIGR.ST,Sweden,Lightning Group,
LIME,LIME.ST,Sweden,Lime Technologies,
LINC,LINC.ST,Sweden,Linc,
LIAB,LIAB.ST,Sweden,Lindab,
LINDEX,LINDEX.HE,Finland,Lindex Group,
LINK,LINK.OL,Norway,Link Mobility,
LINKAB,LINKAB.ST,Sweden,Link Prop,
LPGO,LPGO.ST,Sweden,Lipigon Pharmaceuticals,
LIPUM,LIPUM.ST,Sweden,Lipum,
LITI,LITI.ST,Sweden,Litium,
LNFI,LNFI.ST,Sweden,LN Future Invest,
LOGI A,LOGI-A.ST,Sweden,Logistea A,
LOGI B,LOGI-B.ST,Sweden,Logistea B,
LOGIST A,LOGIST-A.ST,Sweden,Logistri A,
LOGIST B,LOGIST-B.ST,Sweden,Logistri B,
LOHILO,LOHILO.ST,Sweden,Lohilo Foods,
LOIHDE,LOIHDE.HE,Finland,Loihde,
LOKO,LOKO.OL,Norway,Lokotech,
LOLB,LOLB.CO,Denmark,Lollands Bank,
LOOMIS,LOOMIS.ST,Sweden,Loomis,
LOVI,LOVI.ST,Sweden,Lovisagruvan,
LOYAL,LOYAL.ST,Sweden,Loyal Solutions,
LUC,LUC.ST,Sweden,Lucara Diamond,
LUMEN,LUMEN.ST,Sweden,LumenRadio,
LUMI,LUMI.OL,Norway,Lumi Gruppen,
LUMITO,LUMITO.ST,Sweden,Lumito,
LUND B,LUND-B.ST,Sweden,Lundbergföretagen,
LUG,LUG.ST,Sweden,Lundin Gold,
LUMI,LUMI.ST,Sweden,Lundin Mining,
LXB,LXB.ST,Sweden,Luxbright,
LUXOR B,LUXOR-B.CO,Denmark,Luxor,
LYGRD,LYGRD.ST,Sweden,Lyckegård,
LYKO A,LYKO-A.ST,Sweden,Lyko,
LYTIX,LYTIX.OL,Norway,Lytix Biopharma,
LASP,LASP.CO,Denmark,Lån og Spar Bank,
LARK,LARK.ST,Sweden,Lärkberget,
MVW,MVW.OL,Norway,M Vest Water,
MAGI,MAGI.ST,Sweden,MAG Interactive,
MAGLE,MAGLE.ST,Sweden,Magle Chemoswed,
MGN,MGN.OL,Norway,Magnora,
MAHA A,MAHA-A.ST,Sweden,Maha Capital,
MAHVIE,MAHVIE.ST,Sweden,Mahvie Minerals,
MEAB B,MEAB-B.ST,Sweden,Malmbergs Elektriska,
MANTA,MANTA.HE,Finland,Mandatum,
MANG,MANG.ST,Sweden,Mangold,
MANTEX,MANTEX.ST,Sweden,Mantex,
MEKKO,MEKKO.HE,Finland,Marimekko,
MARAS,MARAS.HE,Finland,Martela,
MASHUP,MASHUP.ST,Sweden,Mashup Ireland,
MATAS,MATAS.CO,Denmark,Matas,
MVE,MVE.OL,Norway,MatvareExpressen,
MAVEN,MAVEN.ST,Sweden,Maven Wireless,
MAV,MAV.ST,Sweden,Mavshack,
MAXENT B,MAXENT-B.ST,Sweden,Maximum Entertainment,
MDUNDO,MDUNDO.CO,Denmark,Mdundo.com,
MCAP,MCAP.ST,Sweden,MedCap,
MCLR,MCLR.ST,Sweden,Medclair,
SX4030PI,SX4030PI.ST,Sweden,Media,
MEGR,MEGR.ST,Sweden,Mediacle,
SX201020PI,SX201020PI.ST,Sweden,Medical Equipment,
MCOV B,MCOV-B.ST,Sweden,Medicover,
MEDI,MEDI.OL,Norway,Medistim,
MVIR,MVIR.ST,Sweden,Medivir,
MEDS,MEDS.ST,Sweden,Meds Apotek,
MEKO,MEKO.ST,Sweden,MEKO,
MELG,MELG.OL,Norway,Melhus Sparebank,
MENDO,MENDO.CO,Denmark,Mendole,
IMMU,IMMU.ST,Sweden,Mendus,
MNTC,MNTC.ST,Sweden,Mentice,
MER,MER.ST,Sweden,Meren Energy,
MERUS,MERUS.HE,Finland,Merus Power,
META,META.ST,Sweden,Metacon,
METSO,METSO.HE,Finland,Metso,
METSA,METSA.HE,Finland,Metsä Board A,
METSB,METSB.HE,Finland,Metsä Board B,
MSAB B,MSAB-B.ST,Sweden,Micro Systemation,
MPOS,MPOS.ST,Sweden,Micropos Medical,
MSON A,MSON-A.ST,Sweden,Midsona A,
MSON B,MSON-B.ST,Sweden,Midsona B,
MIDS,MIDS.ST,Sweden,Midsummer,
MILDEF,MILDEF.ST,Sweden,Mildef Group,
MNDRK,MNDRK.ST,Sweden,MindArk,
MINEST,MINEST.ST,Sweden,Minesto,
MIPS,MIPS.ST,Sweden,Mips,
MIR,MIR.ST,Sweden,Miris,
MOBA,MOBA.ST,Sweden,MOBA Network,
MOB,MOB.ST,Sweden,Moberg Pharma,
MODEL,MODEL.ST,Sweden,Modelon,
MTG A,MTG-A.ST,Sweden,Modern Times Group A,
MTG B,MTG-B.ST,Sweden,Modern Times Group B,
MODU,MODU.HE,Finland,Modulight,
MODTX,MODTX.ST,Sweden,Modus Therapeutics,
MOFAST,MOFAST.ST,Sweden,Mofast,
MOMENT,MOMENT.ST,Sweden,Moment Group,
MMGR B,MMGR-B.ST,Sweden,Momentum Group,
MONI,MONI.ST,Sweden,Monivent,
MNBA,MNBA.CO,Denmark,Mons Bank,
MONSO,MONSO.CO,Denmark,Monsenso,
MORLD,MORLD.OL,Norway,Moreld,
MOBA,MOBA.OL,Norway,Morrow Bank,
MBBAB,MBBAB.ST,Sweden,MoveByBike,
MOWI,MOWI.OL,Norway,Mowi,
MOVINN,MOVINN.CO,Denmark,Movinn,
MPCC,MPCC.OL,Norway,MPC Container Ships,
MPCES,MPCES.OL,Norway,MPC Energy Solutions,
MRSELL,MRSELL.ST,Sweden,mResell,
MTHH,MTHH.CO,Denmark,MT Hojgaard B,
MTI,MTI.ST,Sweden,MTI Investment,
MULTI,MULTI.OL,Norway,Multiconsult,
MTRS,MTRS.ST,Sweden,Munters,
MUSTI,MUSTI.HE,Finland,Musti Group,
MYBEAT,MYBEAT.ST,Sweden,My Beat,
MYCR,MYCR.ST,Sweden,Mycronic,
SAFETY B,SAFETY-B.ST,Sweden,mySafety,
MAS,MAS.OL,Norway,Måsoval,
NANEXA,NANEXA.ST,Sweden,Nanexa,
NANOC B,NANOC-B.ST,Sweden,NanoCap,
NANECH,NANECH.ST,Sweden,NanoEcho,
NANOFS,NANOFS.ST,Sweden,Nanoform,
NANOFH,NANOFH.HE,Finland,Nanoform,
NICA,NICA.ST,Sweden,Nanologica,
NAPA,NAPA.OL,Norway,Napatech,
NATTA,NATTA.ST,Sweden,Nattaro Labs,
NAVA,NAVA.OL,Norway,Navamedic,
NAVIGO STAM,NAVIGOSTAM.ST,Sweden,Navigo Invest,
NAVIGO PREF,NAVIGOPREF.ST,Sweden,Navigo Invest Pref,
NAXS,NAXS.ST,Sweden,NAXS,
NCAB,NCAB.ST,Sweden,NCAB Group,
NCC A,NCC-A.ST,Sweden,NCC A,
NCC B,NCC-B.ST,Sweden,NCC B,
NMAN,NMAN.ST,Sweden,Nederman,
NKR,NKR.OL,Norway,Nekkar,
NEL,NEL.OL,Norway,NEL,
NELLY,NELLY.ST,Sweden,Nelly Group,
NEOBO,NEOBO.ST,Sweden,Neobo Fastigheter,
NEOLA,NEOLA.ST,Sweden,Neola Medical,
NEO B,NEO-B.ST,Sweden,Neovici Holding B,
NEPA,NEPA.ST,Sweden,Nepa,
NESTE,NESTE.HE,Finland,Neste,
NETI B,NETI-B.ST,Sweden,Net Insight,
NETC,NETC.CO,Denmark,Netcompany Group,
NETEL,NETEL.ST,Sweden,Netel Holding,
NETUM,NETUM.HE,Finland,Netum,
NNH,NNH.ST,Sweden,New Nordic Healthbrands,
NEWA B,NEWA-B.ST,Sweden,New Wave,
NEWBRY,NEWBRY.ST,Sweden,Newbury Pharmaceuticals,
NEWCAP,NEWCAP.CO,Denmark,NewCap Holding,
NEXAM,NEXAM.ST,Sweden,Nexam Chemical,
NXAR,NXAR.ST,Sweden,Nexar Group,
NEXCOM,NEXCOM.CO,Denmark,Nexcom,
NXTMH,NXTMH.HE,Finland,Nexstim,
NEXT,NEXT.OL,Norway,NEXT Biometrics,
NXTCL,NXTCL.ST,Sweden,NextCell Pharma,
NFO,NFO.ST,Sweden,NFO Drives,
NGS,NGS.ST,Sweden,NGS Group,
NIBE B,NIBE-B.ST,Sweden,NIBE Industrier,
NICO,NICO.ST,Sweden,Nicoccino,
NISB,NISB.OL,Norway,Nidaros Sparebank,
NIDHOG,NIDHOG.ST,Sweden,Nidhogg Resources,
HEALTH,HEALTH.HE,Finland,Nightingale Health,
NLFSK,NLFSK.CO,Denmark,Nilfisk,
NILS,NILS.ST,Sweden,Nilsson Special Vehicles,
NIL B,NIL-B.ST,Sweden,Nilörngruppen,
BOAT,BOAT.ST,Sweden,Nimbus,
NITRO,NITRO.ST,Sweden,Nitro Games,
NIUTEC,NIUTEC.ST,Sweden,Niutech Group,
NIVI B,NIVI-B.ST,Sweden,Nivika Fastigheter,
NKT,NKT.CO,Denmark,NKT Holding,
NNIT,NNIT.CO,Denmark,NNIT,
NOBA,NOBA.ST,Sweden,NOBA Bank,
NOBI,NOBI.ST,Sweden,Nobia,
NODE,NODE.ST,Sweden,Nodebis Applications,
NOHO,NOHO.HE,Finland,NoHo Partners,
NOKIA SEK,NOKIASEK.ST,Sweden,Nokia,
NOKIA,NOKIA.HE,Finland,Nokia,
BEER,BEER.HE,Finland,Nokian Panimo,
TYRES,TYRES.HE,Finland,Nokian Renkaat,
NOLA B,NOLA-B.ST,Sweden,Nolato,
NORAM,NORAM.OL,Norway,Noram Drilling,
NORBT,NORBT.OL,Norway,Norbit,
NCOD,NCOD.OL,Norway,Norcod,
NORCO,NORCO.OL,Norway,Norconsult,
NORDIG,NORDIG.ST,Sweden,Nord Insuretech,
NDA SE,NDA-SE.ST,Sweden,Nordea Bank,
NDA FI,NDA-FI.HE,Finland,Nordea Bank,
NDA DK,NDA-DK.CO,Denmark,Nordea Bank,
NORDEN,NORDEN.ST,Sweden,Norden Estates,
NORDH,NORDH.OL,Norway,Nordhealth,
NOAP,NOAP.OL,Norway,Nordic Aqua Partners,
NOFIN,NOFIN.OL,Norway,Nordic Financials,
NFGAB,NFGAB.ST,Sweden,Nordic Flanges,
