ticker,yahoo_ticker,country,company,sector
ARFA,ARFA.ST,Sweden,Arctic Falls,
AFISH,AFISH.OL,Norway,Arctic Fish,
ARCT,ARCT.ST,Sweden,Arctic Minerals,
ARP,ARP.ST,Sweden,Arctic Paper,
AZT,AZT.OL,Norway,ArcticZymes,
AFK,AFK.OL,Norway,Arendals Fossekompani,
ARION SDB,ARIONSDB.ST,Sweden,Arion Banki,
ARISE,ARISE.ST,Sweden,Arise Windpower,
ARJO B,ARJO-B.ST,Sweden,Arjo,
ARPL,ARPL.ST,Sweden,Arla Plast,
AGROUP,AGROUP.ST,Sweden,Arlandastad,
ARR,ARR.OL,Norway,Arribatec,
ACE,ACE.ST,Sweden,Ascelia Pharma,
ASTK,ASTK.CO,Denmark,Asetek,
ASKER,ASKER.ST,Sweden,Asker Healthcare,
ASMDEE B,ASMDEE-B.ST,Sweden,Asmodee,
ASPO,ASPO.HE,Finland,Aspo,
ACG1V,ACG1V.HE,Finland,Aspocomp,
ASSA B,ASSA-B.ST,Sweden,Assa Abloy,
AZN,AZN.ST,Sweden,AstraZeneca,
ASUNTO,ASUNTO.HE,Finland,Asuntosalkku,
ATEA,ATEA.OL,Norway,Atea,
ATIN,ATIN.ST,Sweden,Athanase Innovation,
ATLA DKK,ATLADKK.CO,Denmark,Atlantic Petroleum,
ASA,ASA.OL,Norway,Atlantic Sapphire,
ATCO A,ATCO-A.ST,Sweden,Atlas Copco A,
ATCO B,ATCO-B.ST,Sweden,Atlas Copco B,
ATRAV,ATRAV.HE,Finland,Atria,
ATRLJ B,ATRLJ-B.ST,Sweden,Atrium Ljungberg,
ATANA,ATANA.ST,Sweden,Attana,
ATT,ATT.ST,Sweden,Attendo,
AUDNTS,AUDNTS.CO,Denmark,Audientes,
AURG,AURG.OL,Norway,Aurskog Sparebank,
AUSS,AUSS.OL,Norway,Austevoll Seafood,
ALIV SDB,ALIVSDB.ST,Sweden,Autoliv,
SX4010PI,SX4010PI.ST,Sweden,Automobiles & Parts,
AUTO,AUTO.OL,Norway,Autostore,
AZA,AZA.ST,Sweden,Avanza Bank,
AVEN,AVEN.ST,Sweden,Avensia,
ALNG,ALNG.OL,Norway,Awilco LNG,
AVSALT,AVSALT.ST,Sweden,Avsalt Group,
AVT B,AVT-B.ST,Sweden,Avtech,
ACR,ACR.OL,Norway,Axactor,
AXFO,AXFO.ST,Sweden,Axfood,
AXIC A,AXIC-A.ST,Sweden,aXichem,
AXOLOT,AXOLOT.ST,Sweden,Axolot Solutions,
AIX,AIX.OL,Norway,Ayfie,
BTC B,BTC-B.ST,Sweden,B Treasury Capital,
B2I,B2I.OL,Norway,B2 Impact,
B3,B3.ST,Sweden,B3 Consulting,
BACTI B,BACTI-B.ST,Sweden,Bactiguard,
BACTIQ,BACTIQ.CO,Denmark,BactiQuant,
BAHN B,BAHN-B.ST,Sweden,Bahnhof,
BAKKA,BAKKA.OL,Norway,Bakkafrost,
BALCO,BALCO.ST,Sweden,Balco Group,
BALT,BALT.OL,Norway,Baltic Sea Properties,
BUSER,BUSER.ST,Sweden,Bambuser,
BO,BO.CO,Denmark,Bang & Olufsen,
SX3010PI,SX3010PI.ST,Sweden,Banks,
BARRA,BARRA.OL,Norway,Barramundi,
SX5510PI,SX5510PI.ST,Sweden,Basic Resources,
BAVA,BAVA.CO,Denmark,Bavarian Nordic,
BAWAT,BAWAT.ST,Sweden,Bawat Water,
BEGR,BEGR.ST,Sweden,BE Group,
BEAMMW B,BEAMMW-B.ST,Sweden,BeammWave,
BEIA B,BEIA-B.ST,Sweden,Beijer Alma,
BEIJ B,BEIJ-B.ST,Sweden,Beijer Ref,
BEO SDB,BEOSDB.ST,Sweden,Beowulf Mining,
BCS,BCS.OL,Norway,Bergen Carbon,
BERG B,BERG-B.ST,Sweden,Bergman & Beving,
BERNER B,BERNER-B.ST,Sweden,Berner Industrier,
BESQAB,BESQAB.ST,Sweden,Besqab,
BESQAB PREF B,BESQAB-PREF-B.ST,Sweden,Besqab Pref B,
BETOLAR,BETOLAR.HE,Finland,Betolar,
BETS B,BETS-B.ST,Sweden,Betsson,
BETCO,BETCO.ST,Sweden,Better Collective,
BETCO DKK,BETCODKK.CO,Denmark,Better Collective,
BEWI,BEWI.OL,Norway,BEWi,
BEYOND,BEYOND.ST,Sweden,Beyond Frames,
BHG,BHG.ST,Sweden,BHG Group,
BIBB,BIBB.ST,Sweden,BiBBInstruments,
BICO,BICO.ST,Sweden,BICO Group,
BIEN,BIEN.OL,Norway,Bien Sparebank,
BILI A,BILI-A.ST,Sweden,Bilia,
BILL,BILL.ST,Sweden,Billerud,
BIM,BIM.ST,Sweden,BIMobject,
BINERO,BINERO.ST,Sweden,Binero Group,
BIOA B,BIOA-B.ST,Sweden,BioArctic,
BIOEX,BIOEX.ST,Sweden,Bioextrax,
BIOF,BIOF.ST,Sweden,Biofrigas,
BIOG B,BIOG-B.ST,Sweden,BioGaia,
BIOBV,BIOBV.HE,Finland,Biohit,
BINV,BINV.ST,Sweden,Bioinvent,
BIOPOR,BIOPOR.CO,Denmark,BioPorto,
BRETEC,BRETEC.HE,Finland,Bioretec,
BIOSGN,BIOSGN.ST,Sweden,Biosergen,
BIOVIC B,BIOVIC-B.ST,Sweden,Biovica,
BIOWKS,BIOWKS.ST,Sweden,Bio-Works,
BITTI,BITTI.HE,Finland,Bittium,
BORG,BORG.ST,Sweden,Björn Borg,
BSP,BSP.OL,Norway,Black Sea Property,
BLICK,BLICK.ST,Sweden,Blick Global,
BLUE,BLUE.ST,Sweden,Bluelake Mineral,
BNOR,BNOR.OL,Norway,Bluenord,
SHIP,SHIP.ST,Sweden,BlueYield,
BODY,BODY.ST,Sweden,Bodyflight,
BOHO,BOHO.ST,Sweden,Boho Group,
BOHO PREF,BOHOPREF.ST,Sweden,Boho Group Pref,
BOKUS,BOKUS.ST,Sweden,Bokusgruppen,
BOL,BOL.ST,Sweden,Boliden,
BOMILL,BOMILL.ST,Sweden,BoMill,
BONAV A,BONAV-A.ST,Sweden,Bonava A,
BONAV B,BONAV-B.ST,Sweden,Bonava B,
BONEX,BONEX.ST,Sweden,Bonesupport,
BONG,BONG.ST,Sweden,Bong Ljungdahl,
BONHR,BONHR.OL,Norway,Bonheur,
BONAS,BONAS.ST,Sweden,Bonäsudden,
BOOZT,BOOZT.ST,Sweden,Boozt,
BOOZT DKK,BOOZTDKK.CO,Denmark,Boozt,
BOREO,BOREO.HE,Finland,Boreo,
BOR,BOR.OL,Norway,Borgestad,
BRG,BRG.OL,Norway,Borregaard,
BOTX,BOTX.ST,Sweden,Botnia Gold,
BOUL,BOUL.ST,Sweden,Boule Diagnostics,
BOUV,BOUV.OL,Norway,Bouvet,
BPCINS,BPCINS.ST,Sweden,BPC Instruments,
BRAINP,BRAINP.CO,Denmark,Brain+,
BRAIN,BRAIN.ST,Sweden,BrainCool,
BRAV,BRAV.ST,Sweden,Bravida,
KLEE B,KLEE-B.CO,Denmark,Brd. Klee,
AOJ B,AOJ-B.CO,Denmark,Brdr. A&O Johansen,
BRE2,BRE2.ST,Sweden,Bredband2,
BRIGHT,BRIGHT.ST,Sweden,BrightBid,
BRILL,BRILL.ST,Sweden,Brilliant Future,
BRIN B,BRIN-B.ST,Sweden,Brinova Fastigheter,
BRIX,BRIX.ST,Sweden,Briox,
BMC,BMC.ST,Sweden,Brock Milton Capital,
BIF,BIF.CO,Denmark,Brondbyernes IF,
BRUT,BRUT.OL,Norway,Bruton,
BTS B,BTS-B.ST,Sweden,BTS Group,
BBROOM,BBROOM.ST,Sweden,Bubbleroom,
BUFAB,BUFAB.ST,Sweden,Bufab,
BULTEN,BULTEN.ST,Sweden,Bulten,
BURE,BURE.ST,Sweden,Bure Equity,
BWE,BWE.OL,Norway,BW Energy Limited,
BWLPG,BWLPG.OL,Norway,BW LPG,
BWO,BWO.OL,Norway,BW Offshore Limited,
BMA,BMA.OL,Norway,Byggma,
BMAX,BMAX.ST,Sweden,Byggmax,
AJA B,AJA-B.ST,Sweden,Byggmästare AJ Ahlström,
BYGGP,BYGGP.ST,Sweden,Byggpartner,
BESS,BESS.ST,Sweden,Byhmgard,
C100,C100.ST,Sweden,C100,
CADLR,CADLR.OL,Norway,Cadeler,
CAG,CAG.ST,Sweden,CAG Group,
CALVIK,CALVIK.ST,Sweden,Calviks,
CAMBI,CAMBI.OL,Norway,Cambi,
CAMX,CAMX.ST,Sweden,Camurus,
CANATU,CANATU.HE,Finland,Canatu,
CANDLE B,CANDLE-B.ST,Sweden,Candles Scandinavia,
CANTA,CANTA.ST,Sweden,Cantargia,
CAPMAN,CAPMAN.HE,Finland,CapMan,
CAPSL,CAPSL.OL,Norway,Capsol Technologies,
CARA,CARA.ST,Sweden,Carasent,
CRBX,CRBX.ST,Sweden,Carbiotix,
CARDEO,CARDEO.ST,Sweden,Cardeon,
CARE,CARE.ST,Sweden,Careium,
CARL A,CARL-A.CO,Denmark,Carlsberg A,
CARL B,CARL-B.CO,Denmark,Carlsberg B,
CASE,CASE.ST,Sweden,Case Group,
CAST,CAST.ST,Sweden,Castellum,
CAT A,CAT-A.ST,Sweden,Catella A,
CAT B,CAT-B.ST,Sweden,Catella B,
CATE,CATE.ST,Sweden,Catena,
CTM,CTM.ST,Sweden,Catena Media,
CAVEN,CAVEN.OL,Norway,Cavendish Hydrogen,
CCC,CCC.ST,Sweden,Cavotec,
CBRAIN,CBRAIN.CO,Denmark,cBrain,
CDON,CDON.ST,Sweden,CDON,
CEDER,CEDER.ST,Sweden,Cedergrenska,
CI,CI.ST,Sweden,Cell Impact,
CEVI,CEVI.ST,Sweden,CellaVision,
CEMAT,CEMAT.CO,Denmark,Cemat,
CRNO B,CRNO-B.ST,Sweden,Cereno Scientific,
CESSA,CESSA.CO,Denmark,Cessatech,
CHARGE,CHARGE.ST,Sweden,ChargePanel,
CHECK,CHECK.ST,Sweden,checkin.com,
CHEF,CHEF.ST,Sweden,Cheffelo,
CHEMM,CHEMM.CO,Denmark,ChemoMetec,
CMOTEC B,CMOTEC-B.ST,Sweden,ChemoTech,
CMH,CMH.ST,Sweden,Chordate Medical,
CMH PREF,CMHPREF.ST,Sweden,Chordate Medical Pref,
CHOSA,CHOSA.ST,Sweden,CHOSA Oncology,
CIBUS,CIBUS.ST,Sweden,Cibus Nordic,
CINPHA,CINPHA.ST,Sweden,Cinclus Pharma,
CINIS,CINIS.ST,Sweden,Cinis Fertilizer,
CINT,CINT.ST,Sweden,Cint Group,
CIRCHE,CIRCHE.ST,Sweden,CirChem,
CRNA,CRNA.OL,Norway,Circio,
CTY1S,CTY1S.HE,Finland,Citycon,
CITYVA,CITYVA.HE,Finland,Cityvarasto,
CLAS B,CLAS-B.ST,Sweden,Clas Ohlson,
CLAV,CLAV.ST,Sweden,Clavister,
CLEMO,CLEMO.ST,Sweden,Clean Motion,
CLEM,CLEM.ST,Sweden,Clemondo,
CLIME B,CLIME-B.ST,Sweden,Climeon,
CLS B,CLS-B.ST,Sweden,Clinical Laserthermia,
CLA B,CLA-B.ST,Sweden,Cloetta,
CLOUD,CLOUD.OL,Norway,Cloudberry Clean Energy,
CMBTO,CMBTO.OL,Norway,CMB.TECH NV,
CODE,CODE.OL,Norway,CodeLab Capital,
CDMIL,CDMIL.ST,Sweden,CodeMill,
COEGIN,COEGIN.ST,Sweden,Coegin Pharma,
COFFEE B,COFFEE-B.ST,Sweden,Coffee Stain,
CS,CS.ST,Sweden,CoinShares,
COLLAX,COLLAX.ST,Sweden,Collaxio,
COLO B,COLO-B.CO,Denmark,Coloplast,
COLUM,COLUM.CO,Denmark,Columbus,
CX,CX.ST,Sweden,CombinedX,
COMINT,COMINT.ST,Sweden,Comintelli,
COMPDM,COMPDM.ST,Sweden,Compodium,
CTH1V,CTH1V.HE,Finland,Componenta,
CNCJO B,CNCJO-B.ST,Sweden,Concejo B,
CAM B,CAM-B.ST,Sweden,Consensus,
COSH,COSH.OL,Norway,Constellation Oil,
CONSTI,CONSTI.HE,Finland,Consti,
SX5010PI,SX5010PI.ST,Sweden,Construction & Materials,
SX4020PI,SX4020PI.ST,Sweden,Consumer Products,
SX402010PI,SX402010PI.ST,Sweden,Consumer Services,
CONTX,CONTX.OL,Norway,ContextVision,
CLCO,CLCO.OL,Norway,Cool Company,
COOR,COOR.ST,Sweden,Coor Service Management,
CPHCAP ST,CPHCAP-ST.CO,Denmark,Copenhagen Capital,
