ticker,yahoo_ticker,country,company,sector,borsdata_ticker,ins_id
ALPCOT B,ALPCOT-B.ST,Sweden,Alpcot,,ALPCOT B,2311.0
SX601020PI,SX601020PI.ST,Sweden,Alternative Energy,,SX601020PI,2470.0
ALVO SDB,ALVOSDB.ST,Sweden,Alvotech SDB,,ALVO SDB,2580.0
ALZCUR,ALZCUR.ST,Sweden,AlzeCure Pharma,,ALZCUR,1752.0
ALZ,ALZ.ST,Sweden,Alzinova,,ALZ,916.0
AMBEA,AMBEA.ST,Sweden,Ambea,,AMBEA,1419.0
AMBU B,AMBU-B.CO,Denmark,Ambu,,AMBU B,1189.0
AMH2 B,AMH2-B.ST,Sweden,Amhult 2,,AMH2 B,501.0
AMIDO,AMIDO.ST,Sweden,Amido,,AMIDO,1891.0
AMNO,AMNO.ST,Sweden,Amnode,,,
ANDF,ANDF.OL,Norway,Andfjord Salmon,,ANDF,1950.0
ANGL,ANGL.ST,Sweden,Angler Gaming,,ANGL,492.0
ANNE B,ANNE-B.ST,Sweden,Annehem Fastigheter,,ANNE B,2048.0
ANNX,ANNX.ST,Sweden,Annexin,,ANNX,1446.0
ANORA,ANORA.HE,Finland,Anora Group,,ANORA,2257.0
ANOT,ANOT.ST,Sweden,Anoto,,ANOT,13.0
ANTCO B,ANTCO-B.ST,Sweden,ANTCO Investment,,,
APETIT,APETIT.HE,Finland,Apetit,,APETIT,792.0
APOTEA,APOTEA.ST,Sweden,Apotea,,APOTEA,2556.0
APR,APR.OL,Norway,Appear,,APR,2605.0
APTA,APTA.ST,Sweden,Aptahem,,APTA,767.0
AQ,AQ.ST,Sweden,AQ Group,,AQ,505.0
ABTEC,ABTEC.OL,Norway,Aqua Bio Technology,,ABTEC,1156.0
AQP,AQP.CO,Denmark,Aquaporin,,,
AQUAT,AQUAT.ST,Sweden,Aquaticus Real Estate,,AQUAT,2244.0
ARBO A,ARBO-A.ST,Sweden,Arbona A,,ARBO A,1604.0
ALONNR B,ALONNR-B.ST,Sweden,Archelon Natural,,,
ARCH,ARCH.OL,Norway,Archer,,ARCH,1041.0
ARCOMA,ARCOMA.ST,Sweden,Arcoma,,ARCOMA,433.0
ABS,ABS.OL,Norway,Arctic Bioscience,,ABS,2085.0
ARCTIC,ARCTIC.ST,Sweden,Arctic Blue Beverages,,ARCTIC,2391.0
ARFA,ARFA.ST,Sweden,Arctic Falls,,ARFA,2608.0
AFISH,AFISH.OL,Norway,Arctic Fish,,AFISH,2084.0
ARCT,ARCT.ST,Sweden,Arctic Minerals,,ARCT,262.0
ARP,ARP.ST,Sweden,Arctic Paper,,ARP,381.0
AZT,AZT.OL,Norway,ArcticZymes,,AZT,1046.0
AFK,AFK.OL,Norway,Arendals Fossekompani,,AFK,1128.0
ARION SDB,ARIONSDB.ST,Sweden,Arion Banki,,ARION SDB,1710.0
ARISE,ARISE.ST,Sweden,Arise Windpower,,,
ARJO B,ARJO-B.ST,Sweden,Arjo,,ARJO B,1574.0
ARPL,ARPL.ST,Sweden,Arla Plast,,ARPL,2147.0
AGROUP,AGROUP.ST,Sweden,Arlandastad,,AGROUP,2248.0
ARR,ARR.OL,Norway,Arribatec,,ARR,1035.0
ACE,ACE.ST,Sweden,Ascelia Pharma,,ACE,1793.0
ASTK,ASTK.CO,Denmark,Asetek,,ASTK,2533.0
ASKER,ASKER.ST,Sweden,Asker Healthcare,,ASKER,2573.0
ASMDEE B,ASMDEE-B.ST,Sweden,Asmodee,,ASMDEE B,2568.0
ASPO,ASPO.HE,Finland,Aspo,,ASPO,713.0
ACG1V,ACG1V.HE,Finland,Aspocomp,,ACG1V,794.0
ASSA B,ASSA-B.ST,Sweden,Assa Abloy,,ASSA B,17.0
AZN,AZN.ST,Sweden,AstraZeneca,,AZN,18.0
ASUNTO,ASUNTO.HE,Finland,Asuntosalkku,,ASUNTO,2403.0
ATEA,ATEA.OL,Norway,Atea,,ATEA,1021.0
ATIN,ATIN.ST,Sweden,Athanase Innovation,,ATIN,1447.0
ATLA DKK,ATLADKK.CO,Denmark,Atlantic Petroleum,,ATLA DKK,1219.0
ASA,ASA.OL,Norway,Atlantic Sapphire,,ASA,1705.0
ATCO A,ATCO-A.ST,Sweden,Atlas Copco A,,ATCO A,19.0
ATCO B,ATCO-B.ST,Sweden,Atlas Copco B,,ATCO B,1605.0
ATRAV,ATRAV.HE,Finland,Atria,,ATRAV,709.0
ATRLJ B,ATRLJ-B.ST,Sweden,Atrium Ljungberg,,ATRLJ B,20.0
ATANA,ATANA.ST,Sweden,Attana,,ATANA,1675.0
ATT,ATT.ST,Sweden,Attendo,,ATT,920.0
AUDNTS,AUDNTS.CO,Denmark,Audientes,,,
AURG,AURG.OL,Norway,Aurskog Sparebank,,AURG,2427.0
AUSS,AUSS.OL,Norway,Austevoll Seafood,,AUSS,1042.0
ALIV SDB,ALIVSDB.ST,Sweden,Autoliv,,ALIV SDB,21.0
SX4010PI,SX4010PI.ST,Sweden,Automobiles & Parts,,SX4010PI,2451.0
AUTO,AUTO.OL,Norway,Autostore,,AUTO,2285.0
AZA,AZA.ST,Sweden,Avanza Bank,,AZA,22.0
AVEN,AVEN.ST,Sweden,Avensia,,AVEN,263.0
