company_id,ticker,year,source_type,report_url
TELENOR,TEL.OL,2024,esef,https://www.telenor.com/binaries/investors/reports-and-information/annual/annual-report-2024/tel-2024-12-31-0-en.zip
TELENOR,TEL.OL,2024,pdf,https://www.telenor.com/binaries/investors/reports-and-information/annual/annual-report-2024/Annual-Report-2024_English.pdf
