set_name,cagr_net,excess_cagr,info_ratio,max_dd,turnover,cash_share,go_no_go,go_no_go_reasons,folds,seed
current_21,0.2294782473261409,0.2038576022329055,1.052248216399802,-0.1499999999999999,0.1,0.0,NO_GO,maxdd_vs_benchmark,3,11
core_26,0.2294782473261409,0.2038576022329055,1.052248216399802,-0.1499999999999999,0.1,0.0,NO_GO,maxdd_vs_benchmark,3,11
