action_baseline,k_baseline,ticker_baseline,company_baseline,quality_score_baseline,mos_baseline,mode_baseline,period,date_baseline,ret_baseline,action_change1_quality,k_change1_quality,ticker_change1_quality,company_change1_quality,quality_score_change1_quality,mos_change1_quality,mode_change1_quality,date_change1_quality,ret_change1_quality,action_change2_value,k_change2_value,ticker_change2_value,company_change2_value,quality_score_change2_value,mos_change2_value,mode_change2_value,date_change2_value,ret_change2_value,action_v2,k_v2,ticker_v2,company_v2,quality_score_v2,mos_v2,mode_v2,date_v2,ret_v2
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2012-12,2012-12-31,0.09236949082378199,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2012-12-31,0.09236949082378199,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2012-12-31,0.09236949082378199,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2012-12-31,0.09236949082378199
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2013-01,2013-01-31,-0.17368421052631577,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2013-01-31,-0.17368421052631577,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2013-01-31,-0.17368421052631577,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2013-01-31,-0.17368421052631577
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2013-02,2013-02-28,0.08630253855959169,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2013-02-28,0.08630253855959169,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2013-02-28,0.08630253855959169,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2013-02-28,0.08630253855959169
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2013-03,2013-03-28,0.08000010695942583,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2013-03-28,0.08000010695942583,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2013-03-28,0.08000010695942583,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2013-03-28,0.08000010695942583
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2013-04,2013-04-30,0.15740715690859264,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2013-04-30,0.15740715690859264,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2013-04-30,0.15740715690859264,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2013-04-30,0.15740715690859264
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2013-05,2013-05-31,-0.028999990817140886,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2013-05-31,-0.028999990817140886,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2013-05-31,-0.028999990817140886,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2013-05-31,-0.028999990817140886
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2013-06,2013-06-28,0.15190523798454691,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2013-06-28,0.15190523798454691,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2013-06-28,0.15190523798454691,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2013-06-28,0.15190523798454691
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2013-07,2013-07-31,-0.09164050824981396,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2013-07-31,-0.09164050824981396,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2013-07-31,-0.09164050824981396,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2013-07-31,-0.09164050824981396
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2013-08,2013-08-30,0.12057102818885257,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2013-08-30,0.12057102818885257,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2013-08-30,0.12057102818885257,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2013-08-30,0.12057102818885257
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2013-09,2013-09-30,0.1501975650599019,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2013-09-30,0.1501975650599019,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2013-09-30,0.1501975650599019,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2013-09-30,0.1501975650599019
