dataset,market,ins_id,file_path,status,rows,fetched_at,attempts,last_error,source
prices,NO,1047,prices__NO__1047.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1048,prices__NO__1048.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1049,prices__NO__1049.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1050,prices__NO__1050.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1051,prices__NO__1051.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1052,prices__NO__1052.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1056,prices__NO__1056.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1057,prices__NO__1057.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1058,prices__NO__1058.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1064,prices__NO__1064.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1065,prices__NO__1065.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1066,prices__NO__1066.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1067,prices__NO__1067.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1070,prices__NO__1070.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1071,prices__NO__1071.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1073,prices__NO__1073.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1074,prices__NO__1074.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1083,prices__NO__1083.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1084,prices__NO__1084.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1085,prices__NO__1085.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1086,prices__NO__1086.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1088,prices__NO__1088.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1089,prices__NO__1089.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1092,prices__NO__1092.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1094,prices__NO__1094.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1095,prices__NO__1095.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1096,prices__NO__1096.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1098,prices__NO__1098.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1099,prices__NO__1099.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1100,prices__NO__1100.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1102,prices__NO__1102.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1104,prices__NO__1104.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1107,prices__NO__1107.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1108,prices__NO__1108.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1109,prices__NO__1109.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1111,prices__NO__1111.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1112,prices__NO__1112.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1113,prices__NO__1113.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1114,prices__NO__1114.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1116,prices__NO__1116.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1118,prices__NO__1118.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1122,prices__NO__1122.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1126,prices__NO__1126.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1128,prices__NO__1128.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1131,prices__NO__1131.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1132,prices__NO__1132.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1133,prices__NO__1133.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1136,prices__NO__1136.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1139,prices__NO__1139.parquet,ok,2519,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1140,prices__NO__1140.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
