dataset,market,ins_id,rows,file_path,fetched_at,source
prices,NO,1067,2518,prices__NO__1067.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1070,2518,prices__NO__1070.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1071,2518,prices__NO__1071.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1073,2518,prices__NO__1073.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1074,2518,prices__NO__1074.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1083,2518,prices__NO__1083.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1084,2518,prices__NO__1084.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1085,2518,prices__NO__1085.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1086,2518,prices__NO__1086.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1088,2518,prices__NO__1088.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1089,2518,prices__NO__1089.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1092,2518,prices__NO__1092.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1094,2518,prices__NO__1094.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1095,2518,prices__NO__1095.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1096,2518,prices__NO__1096.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1098,2518,prices__NO__1098.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1099,2518,prices__NO__1099.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1100,2518,prices__NO__1100.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1102,2518,prices__NO__1102.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1104,2518,prices__NO__1104.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1107,2518,prices__NO__1107.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1108,2518,prices__NO__1108.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1109,2518,prices__NO__1109.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1111,2518,prices__NO__1111.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1112,2518,prices__NO__1112.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1113,2518,prices__NO__1113.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1114,2518,prices__NO__1114.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1116,2518,prices__NO__1116.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1118,2518,prices__NO__1118.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1122,2518,prices__NO__1122.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1126,2518,prices__NO__1126.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1128,2518,prices__NO__1128.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1131,2518,prices__NO__1131.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1132,2518,prices__NO__1132.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1133,2518,prices__NO__1133.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1136,2518,prices__NO__1136.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1139,2519,prices__NO__1139.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1140,2518,prices__NO__1140.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1141,2518,prices__NO__1141.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1142,2518,prices__NO__1142.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1143,2518,prices__NO__1143.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1146,2518,prices__NO__1146.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1148,2518,prices__NO__1148.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1155,2518,prices__NO__1155.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1156,2518,prices__NO__1156.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1159,2518,prices__NO__1159.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1160,2518,prices__NO__1160.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1162,2518,prices__NO__1162.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1163,2518,prices__NO__1163.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1165,2518,prices__NO__1165.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1169,2517,prices__NO__1169.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1170,2518,prices__NO__1170.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1171,2518,prices__NO__1171.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1173,2518,prices__NO__1173.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1175,2519,prices__NO__1175.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1176,2517,prices__NO__1176.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1177,2518,prices__NO__1177.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1178,2518,prices__NO__1178.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1180,2518,prices__NO__1180.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1181,2518,prices__NO__1181.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1183,2519,prices__NO__1183.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1184,2518,prices__NO__1184.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1339,2453,prices__NO__1339.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1343,2516,prices__NO__1343.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1344,2516,prices__NO__1344.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1351,2423,prices__NO__1351.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1533,2225,prices__NO__1533.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1536,1666,prices__NO__1536.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1582,2098,prices__NO__1582.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1590,2305,prices__NO__1590.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1592,2184,prices__NO__1592.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1593,2191,prices__NO__1593.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1595,2056,prices__NO__1595.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1597,2069,prices__NO__1597.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1651,2510,prices__NO__1651.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1652,2510,prices__NO__1652.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1653,2510,prices__NO__1653.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1682,1985,prices__NO__1682.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1683,1987,prices__NO__1683.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1684,1984,prices__NO__1684.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1705,1951,prices__NO__1705.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1706,1977,prices__NO__1706.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1707,1919,prices__NO__1707.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1731,1915,prices__NO__1731.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1732,1917,prices__NO__1732.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1736,1878,prices__NO__1736.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1747,1854,prices__NO__1747.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1767,1826,prices__NO__1767.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1849,1696,prices__NO__1849.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1850,1689,prices__NO__1850.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1857,1681,prices__NO__1857.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1858,1677,prices__NO__1858.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1859,1679,prices__NO__1859.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1871,1661,prices__NO__1871.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1880,1591,prices__NO__1880.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1885,1588,prices__NO__1885.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1889,1576,prices__NO__1889.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1890,1580,prices__NO__1890.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1895,1557,prices__NO__1895.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1927,1508,prices__NO__1927.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1928,1502,prices__NO__1928.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1932,1477,prices__NO__1932.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1934,1463,prices__NO__1934.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1937,1450,prices__NO__1937.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1950,1424,prices__NO__1950.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1951,1436,prices__NO__1951.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1954,1415,prices__NO__1954.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1955,1413,prices__NO__1955.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1959,1409,prices__NO__1959.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1960,1407,prices__NO__1960.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1962,1408,prices__NO__1962.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1965,1376,prices__NO__1965.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1966,1385,prices__NO__1966.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1978,1346,prices__NO__1978.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1981,1353,prices__NO__1981.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1985,1361,prices__NO__1985.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1986,1348,prices__NO__1986.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1987,1349,prices__NO__1987.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2002,1341,prices__NO__2002.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2003,1343,prices__NO__2003.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2004,1342,prices__NO__2004.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2011,1338,prices__NO__2011.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2012,1336,prices__NO__2012.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2015,1334,prices__NO__2015.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2032,1335,prices__NO__2032.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2038,1311,prices__NO__2038.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2039,1312,prices__NO__2039.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2041,1308,prices__NO__2041.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2043,1313,prices__NO__2043.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2044,1318,prices__NO__2044.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2053,1300,prices__NO__2053.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2054,1302,prices__NO__2054.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2060,1296,prices__NO__2060.parquet,2026-02-20T08:37:23.636157+00:00,api
